customer_id,revenue,revenue_zscore,is_outlier_zscore,is_outlier_iqr,revenue_capped,is_outlier
1,120,0.28375744169072536,False,False,120.0,False
2,150,0.28133653262330993,False,False,150.0,False
3,180,0.2789156235558945,False,False,180.0,False
4,200,0.2773016841776176,False,False,200.0,False
5,220,0.2756877447993406,False,False,220.0,False
6,250,0.27326683573192523,False,False,250.0,False
7,275,0.271249411509079,False,False,275.0,False
8,300,0.2692319872862328,False,False,300.0,False
9,350,0.26519713884054047,False,False,350.0,False
10,500,0.25309259350346336,False,False,500.0,False
11,450,0.2571274419491557,False,False,450.0,False
12,400,0.2611622903948481,False,False,400.0,False
13,550,0.24905774505777098,False,False,550.0,False
14,600,0.24502289661207863,False,False,600.0,False
15,50000,3.741407367731982,True,True,872.5,True
