date,revenue,orders,revenue_ma7,revenue_ma30,cumulative_revenue
2025-01-01,8596.06,80,,,8596.06
2025-01-02,8481.77,89,,,17077.83
2025-01-03,9601.61,112,,,26679.440000000002
2025-01-04,10241.41,100,,,36920.850000000006
2025-01-05,7460.8,69,,,44381.65000000001
2025-01-06,7050.2,81,,,51431.850000000006
2025-01-07,9402.92,83,8690.68142857143,,60834.770000000004
2025-01-08,9076.48,109,8759.312857142857,,69911.25
2025-01-09,8239.87,84,8724.755714285715,,78151.12
2025-01-10,9631.01,84,8728.955714285714,,87782.12999999999
2025-01-11,8013.23,92,8410.644285714287,,95795.35999999999
2025-01-12,7338.46,78,8393.167142857143,,103133.81999999999
2025-01-13,7777.08,74,8497.007142857143,,110910.9
2025-01-14,5367.49,61,7920.517142857143,,116278.39
2025-01-15,6241.21,63,7515.478571428571,,122519.6
2025-01-16,8284.05,92,7521.79,,130803.65000000001
2025-01-17,7920.1,85,7277.374285714286,,138723.75
2025-01-18,9101.98,105,7432.909999999999,,147825.73
2025-01-19,6963.26,66,7379.3099999999995,,154788.99000000002
2025-01-20,5947.52,61,7117.944285714286,,160736.51
2025-01-21,9577.76,95,7719.4114285714295,,170314.27000000002
2025-01-22,8195.74,76,7998.63,,178510.01
2025-01-23,9195.39,63,8128.821428571428,,187705.40000000002
2025-01-24,7581.36,85,8080.43,,195286.76
2025-01-25,8227.18,70,7955.45857142857,,203513.94
2025-01-26,8341.56,91,8152.358571428572,,211855.5
2025-01-27,6416.64,67,8219.375714285714,,218272.14
2025-01-28,8425.37,64,8054.74857142857,,226697.51
2025-01-29,7901.46,80,8012.708571428571,,234598.97
2025-01-30,8919.88,90,7973.349999999999,8117.295,243518.85
2025-01-31,8724.56,96,8136.664285714285,8121.578333333334,252243.41
2025-02-01,11258.73,111,8569.742857142857,8214.143666666667,263502.14
2025-02-02,8347.81,94,8570.635714285714,8172.350333333334,271849.95
2025-02-03,6684.14,65,8608.85,8053.774666666666,278534.09
2025-02-04,9117.14,80,8707.674285714285,8108.986000000001,287651.23000000004
2025-02-05,7312.77,74,8623.575714285715,8117.738333333333,294964.00000000006
2025-02-06,9676.1,101,8731.607142857143,8126.844333333333,304640.10000000003
2025-02-07,7250.56,74,8521.035714285714,8065.980333333334,311890.66000000003
2025-02-08,7597.73,74,7998.035714285715,8044.575666666667,319488.39
2025-02-09,8755.79,83,8056.318571428571,8015.401666666667,328244.18
2025-02-10,8995.11,68,8386.457142857142,8048.131,337239.29
2025-02-11,8491.29,96,8297.050000000001,8086.558666666666,345730.57999999996
2025-02-12,8794.56,87,8508.734285714285,8120.474666666666,354525.13999999996
2025-02-13,9219.7,92,8443.534285714286,8248.881666666666,363744.83999999997
2025-02-14,7983.49,70,8548.238571428572,8306.957666666665,371728.32999999996
2025-02-15,8483.29,82,8674.747142857143,8313.599,380211.61999999994
2025-02-16,8122.35,85,8584.255714285715,8320.340666666667,388333.9699999999
2025-02-17,9533.05,92,8661.104285714286,8334.709666666666,397867.0199999999
2025-02-18,8853.54,89,8712.854285714286,8397.719000000001,406720.5599999999
2025-02-19,6973.24,74,8452.665714285715,8431.909666666666,413693.7999999999
2025-02-20,10125.48,83,8582.062857142857,8450.167,423819.27999999985
2025-02-21,9451.18,114,8791.732857142857,8492.015,433270.45999999985
2025-02-22,8690.36,84,8821.314285714285,8475.180666666667,441960.81999999983
2025-02-23,9564.68,94,9027.361428571428,8541.291333333333,451525.4999999998
2025-02-24,9657.26,117,9045.105714285715,8588.960666666668,461182.75999999983
2025-02-25,9714.29,87,9168.070000000002,8634.718333333332,470897.0499999998
2025-02-26,8237.38,69,9348.661428571428,8695.409666666666,479134.4299999998
2025-02-27,9521.08,80,9262.318571428572,8731.933333333332,488655.50999999983
