customer_id,engagement,transactions_per_month,support_tickets,total_spent,days_as_customer,days_since_last_purchase,churn
1,10,5,2,500,300,10,0
2,20,10,3,1000,280,15,0
3,30,15,5,1500,250,20,0
4,40,20,7,2200,240,25,0
5,50,25,10,3000,220,30,1
6,60,30,12,3500,200,35,1
7,70,35,15,4000,190,40,1
8,80,40,18,4500,180,45,1
9,15,8,2,700,320,12,0
10,25,13,4,1200,290,18,0
11,35,18,6,1800,260,22,0
12,45,23,8,2500,230,28,1
13,55,28,11,3200,210,33,1
14,65,33,14,3800,195,38,1
15,75,38,17,4300,185,43,1
16,85,43,20,5000,170,50,1
17,12,6,1,400,330,8,0
18,32,16,5,1600,255,21,0
19,52,26,10,3100,215,31,1
20,72,36,16,4100,188,42,1
