date,revenue,orders
2025-01-01,8596.06,80
2025-01-02,8481.77,89
2025-01-03,9601.61,112
2025-01-04,10241.41,100
2025-01-05,7460.8,69
2025-01-06,7050.2,81
2025-01-07,9402.92,83
2025-01-08,9076.48,109
2025-01-09,8239.87,84
2025-01-10,9631.01,84
2025-01-11,8013.23,92
2025-01-12,7338.46,78
2025-01-13,7777.08,74
2025-01-14,5367.49,61
2025-01-15,6241.21,63
2025-01-16,8284.05,92
2025-01-17,7920.1,85
2025-01-18,9101.98,105
2025-01-19,6963.26,66
2025-01-20,5947.52,61
2025-01-21,9577.76,95
2025-01-22,8195.74,76
2025-01-23,9195.39,63
2025-01-24,7581.36,85
2025-01-25,8227.18,70
2025-01-26,8341.56,91
2025-01-27,6416.64,67
2025-01-28,8425.37,64
2025-01-29,7901.46,80
2025-01-30,8919.88,90
2025-01-31,8724.56,96
2025-02-01,11258.73,111
2025-02-02,8347.81,94
2025-02-03,6684.14,65
2025-02-04,9117.14,80
2025-02-05,7312.77,74
2025-02-06,9676.1,101
2025-02-07,7250.56,74
2025-02-08,7597.73,74
2025-02-09,8755.79,83
2025-02-10,8995.11,68
2025-02-11,8491.29,96
2025-02-12,8794.56,87
2025-02-13,9219.7,92
2025-02-14,7983.49,70
2025-02-15,8483.29,82
2025-02-16,8122.35,85
2025-02-17,9533.05,92
2025-02-18,8853.54,89
2025-02-19,6973.24,74
2025-02-20,10125.48,83
2025-02-21,9451.18,114
2025-02-22,8690.36,84
2025-02-23,9564.68,94
2025-02-24,9657.26,117
2025-02-25,9714.29,87
2025-02-26,8237.38,69
2025-02-27,9521.08,80
2025-02-28,10466.35,86
2025-03-01,10828.87,120
2025-03-02,8411.22,93
2025-03-03,8352.82,71
2025-03-04,7424.71,77
2025-03-05,7964.55,86
2025-03-06,11022.72,103
2025-03-07,11851.87,127
2025-03-08,9727.36,93
2025-03-09,10346.02,99
2025-03-10,9165.13,103
2025-03-11,8133.72,88
2025-03-12,9989.23,85
2025-03-13,12048.89,121
2025-03-14,10336.95,98
2025-03-15,11846.9,115
2025-03-16,6153.64,74
2025-03-17,9873.01,121
2025-03-18,9167.88,95
2025-03-19,9352.3,87
2025-03-20,10468.91,110
2025-03-21,8150.42,90
2025-03-22,9861.28,83
2025-03-23,9881.43,78
2025-03-24,10815.75,106
2025-03-25,8597.05,82
2025-03-26,8896.47,77
2025-03-27,9912.25,103
2025-03-28,11789.54,100
2025-03-29,10674.94,88
2025-03-30,8972.74,96
2025-03-31,9813.76,82
2025-04-01,9491.03,91
2025-04-02,11184.6,108
2025-04-03,9827.45,107
2025-04-04,10453.41,102
2025-04-05,9965.47,85
2025-04-06,8007.79,61
2025-04-07,9708.74,83
2025-04-08,9843.36,106
2025-04-09,10183.91,129
2025-04-10,10543.96,99
2025-04-11,9303.72,76
2025-04-12,10086.78,105
2025-04-13,9508.3,94
2025-04-14,8546.21,88
2025-04-15,9492.1,72
2025-04-16,10818.19,107
2025-04-17,13244.44,125
2025-04-18,11367.21,112
2025-04-19,11056.17,113
2025-04-20,9985.78,106
2025-04-21,7361.98,69
2025-04-22,9809.38,104
2025-04-23,10561.17,122
2025-04-24,14092.47,145
2025-04-25,11082.44,131
2025-04-26,11264.52,87
2025-04-27,10189.02,98
2025-04-28,8417.64,87
2025-04-29,11368.14,126
2025-04-30,11546.76,113
2025-05-01,12241.37,136
2025-05-02,10377.57,102
2025-05-03,12741.57,154
2025-05-04,8704.01,79
2025-05-05,10679.84,110
2025-05-06,12780.86,112
2025-05-07,9611.36,97
2025-05-08,10768.13,108
2025-05-09,11743.97,119
2025-05-10,10609.6,120
2025-05-11,8680.99,75
2025-05-12,10213.44,110
2025-05-13,9033.1,96
2025-05-14,11523.87,102
2025-05-15,10499.93,100
2025-05-16,13639.86,133
2025-05-17,10429.43,120
2025-05-18,10310.86,103
2025-05-19,11262.94,109
2025-05-20,8986.39,90
2025-05-21,11384.06,113
2025-05-22,13327.37,133
2025-05-23,10006.52,104
2025-05-24,11746.45,98
2025-05-25,11164.75,98
2025-05-26,11380.47,100
2025-05-27,9134.64,81
2025-05-28,9682.12,111
2025-05-29,12540.68,131
2025-05-30,12447.44,113
2025-05-31,11981.03,108
2025-06-01,11424.19,103
2025-06-02,9781.81,84
2025-06-03,11053.24,101
2025-06-04,11773.91,118
2025-06-05,11212.69,116
2025-06-06,14485.54,121
2025-06-07,12404.6,135
2025-06-08,9734.44,87
2025-06-09,11541.26,111
2025-06-10,9760.47,101
2025-06-11,12522.28,124
2025-06-12,13615.78,104
2025-06-13,11417.35,121
2025-06-14,13147.6,132
2025-06-15,11814.9,102
2025-06-16,11895.42,120
2025-06-17,13361.8,125
2025-06-18,11438.87,105
2025-06-19,11476.54,100
2025-06-20,11490.3,118
2025-06-21,11168.13,121
2025-06-22,11382.59,96
2025-06-23,11473.88,117
2025-06-24,11573.23,114
2025-06-25,12881.51,121
2025-06-26,12552.18,130
2025-06-27,14457.52,148
2025-06-28,11985.07,103
2025-06-29,14894.87,139
2025-06-30,11970.86,108
