customer_id,customer_type,lifetime_value,churn,support_tickets,retention_days
1,Enterprise,150000,0,2,720
2,Enterprise,145000,0,3,700
3,Enterprise,160000,0,1,750
4,Enterprise,155000,0,2,730
5,Enterprise,148000,0,4,690
6,SMB,8000,1,8,300
7,SMB,9500,0,6,340
8,SMB,7200,1,10,280
9,SMB,8500,0,7,320
10,SMB,9000,1,9,290
11,SMB,7800,0,5,350
12,SMB,8800,1,8,310
13,SMB,9200,0,6,330
14,Startup,2000,0,4,250
15,Startup,1800,1,7,210
16,Startup,2500,0,3,270
17,Startup,2200,1,6,220
18,Startup,1900,0,5,240
19,Startup,2800,0,2,290
20,Startup,2100,1,8,200
21,Startup,2300,0,4,260
22,Startup,1700,1,9,190
23,Startup,2600,0,3,280
