order_item_id,order_id,product_id,quantity,unit_price
1,52,17,2,110.81
2,319,69,3,230.46
3,1993,12,2,96.34
4,4277,38,2,234.88
5,3892,18,3,120.26
6,4743,26,4,241.44
7,3957,95,5,186.97
8,2693,37,4,209.04
9,3019,70,4,35.17
10,2025,41,1,150.67
11,4432,79,2,44.25
12,1526,42,2,81.43
13,1279,90,2,159.66
14,514,76,5,184.29
15,4338,41,5,19.4
16,1734,47,5,137.43
17,3371,14,3,145.68
18,3922,1,5,28.92
19,2501,17,1,130.17
20,3465,97,1,181.32
21,2260,55,4,22.77
22,4764,93,4,192.46
23,4690,53,4,148.34
24,2660,31,4,209.97
25,256,62,1,62.34
26,1503,8,4,209.99
27,4657,30,1,32.69
28,2111,77,5,106.92
29,407,80,5,57.88
30,2850,66,3,220.24
31,3177,45,4,179.18
32,1861,18,5,16.09
33,4355,99,5,12.29
34,723,45,2,79.9
35,1283,19,2,44.39
36,614,77,1,161.27
37,3332,68,3,169.31
38,3117,83,2,236.07
39,1979,50,3,238.49
40,813,25,5,168.14
41,1787,38,1,11.36
42,331,95,3,96.16
43,2213,36,2,133.15
44,1217,68,5,129.8
45,4483,56,4,154.8
46,3338,39,5,240.53
47,2376,63,2,222.45
48,1241,7,2,36.14
49,320,58,4,73.84
50,4495,80,5,209.95
51,1915,59,3,207.83
52,4201,48,3,76.09
53,4792,5,5,185.34
54,330,87,3,171.29
55,660,36,5,123.65
56,3689,96,5,58.35
57,3119,88,2,223.27
58,4917,25,1,172.68
59,1973,45,2,50.56
60,1794,92,3,179.15
61,3219,19,1,187.94
62,4558,7,5,222.85
63,2534,58,3,63.48
64,2458,81,4,247.3
65,3101,66,3,46.81
66,4367,80,1,154.17
67,2734,39,1,167.72
68,4481,18,5,110.55
69,4156,1,4,124.01
70,220,63,5,223.82
71,2819,3,4,164.87
72,1907,21,4,129.28
73,2612,30,5,40.8
74,2594,11,3,11.76
75,96,22,2,39.99
76,989,57,4,239.48
77,1113,89,1,193.38
78,2279,3,5,242.11
79,246,30,3,18.57
80,2159,88,4,173.25
81,4330,45,3,20.63
82,3350,36,5,197.69
83,2726,87,1,101.43
84,4078,72,4,32.98
85,4899,64,4,146.33
86,2667,54,3,77.23
87,3200,68,5,168.3
88,2755,50,2,167.96
89,1418,31,4,179.2
90,655,29,1,248.19
91,2443,59,4,102.81
92,111,36,4,121.68
93,90,77,2,203.11
94,763,73,2,148.81
95,3173,85,5,18.94
96,2180,67,4,212.34
97,2505,89,4,22.36
98,1465,89,3,51.0
99,98,76,3,34.5
100,293,93,1,28.7
101,1840,11,1,16.16
102,1735,11,3,23.21
103,2620,26,1,116.19
104,4748,53,4,70.68
105,2197,14,2,40.37
106,3467,64,4,168.09
107,1907,80,3,64.27
108,1722,10,5,14.55
109,3692,31,5,110.42
110,1817,95,3,84.5
111,253,36,4,86.47
112,4228,10,1,116.86
113,3520,26,1,170.54
114,1908,20,5,157.95
115,1911,44,3,234.94
116,2522,62,3,134.25
117,3850,73,2,123.42
118,1059,79,5,61.22
119,3539,9,3,191.29
120,2323,71,2,43.79
121,187,90,1,127.87
122,949,24,5,111.12
123,2291,12,5,167.99
124,4360,60,3,230.23
125,4618,84,3,237.18
126,4879,78,4,50.27
127,4631,86,1,72.84
128,210,16,1,204.79
129,2094,29,2,134.39
130,3539,32,2,118.73
131,1564,83,4,180.55
132,26,35,1,154.46
133,175,43,2,242.97
134,1335,96,1,150.15
135,322,53,1,121.83
136,4151,20,2,140.28
137,4048,84,3,204.05
138,3228,8,3,157.04
139,1873,99,2,165.29
140,2068,42,4,243.15
141,333,77,5,158.41
142,2992,70,1,101.27
143,911,16,5,175.92
144,4497,69,2,168.27
145,950,53,1,13.32
146,2076,45,5,122.16
147,2515,51,3,188.3
148,3332,98,4,129.77
149,3030,6,5,197.11
150,101,33,4,118.21
151,4647,79,3,246.0
152,2401,15,5,80.29
153,3372,14,2,32.11
154,2344,39,1,113.2
155,353,63,3,140.01
156,2956,5,4,93.78
157,1019,90,4,68.15
158,1180,81,3,171.29
159,3537,52,2,100.51
160,3651,16,2,161.53
161,2503,99,4,196.98
162,3820,38,3,192.64
163,980,53,3,100.07
164,4835,87,1,146.3
165,977,77,4,117.92
166,1372,97,2,218.99
167,2281,93,5,220.9
168,4577,53,2,92.5
169,108,46,2,32.02
170,973,98,5,50.22
171,1627,98,4,98.08
172,704,91,1,145.42
173,875,15,2,167.63
174,3810,59,2,89.53
175,2412,50,4,170.2
176,2108,9,4,235.06
177,3554,26,3,166.48
178,1274,3,4,48.06
179,560,100,4,149.12
180,117,47,2,140.05
181,4970,5,1,218.97
182,3047,62,2,94.07
183,44,84,4,111.51
184,509,84,3,153.68
185,3440,5,1,135.86
186,3929,10,3,182.56
187,4945,80,5,19.69
188,917,63,3,145.24
189,2946,25,3,39.2
190,799,44,4,85.65
191,4972,25,4,168.79
192,1761,30,4,47.78
193,2334,14,4,84.12
194,3276,86,4,178.72
195,819,43,3,166.19
196,2169,28,5,31.85
197,3736,94,4,148.54
198,3066,19,5,45.34
199,3260,42,5,70.55
200,907,20,2,120.21
201,4109,99,2,36.24
202,603,86,1,248.48
203,4296,79,2,49.69
204,2634,11,4,197.52
205,1792,54,5,209.16
206,3528,98,1,248.67
207,4544,24,2,112.88
208,1812,70,3,219.78
209,3912,17,1,239.81
210,841,28,4,51.49
211,3143,50,5,125.06
212,4686,95,4,24.4
213,2091,100,4,158.97
214,4616,55,3,149.54
215,1037,73,3,58.99
216,725,10,5,201.5
217,988,21,2,18.94
218,803,58,4,203.49
219,2583,34,2,16.39
220,3838,95,5,167.64
221,527,93,4,28.9
222,1666,43,2,70.29
223,1139,11,4,183.26
224,460,33,3,77.3
225,2553,58,3,132.68
226,4421,46,1,229.66
227,4675,61,5,21.91
228,2809,62,2,204.66
229,2899,1,4,25.67
230,3244,21,1,40.43
231,4069,62,5,38.64
232,2332,64,5,248.58
233,4571,87,5,53.24
234,3686,73,2,225.22
235,632,56,3,247.82
236,4799,1,1,102.11
237,2457,21,2,161.45
238,982,22,4,196.98
239,4655,54,2,104.23
240,4318,4,4,48.84
241,1557,65,4,114.1
242,2206,51,5,195.25
243,4444,74,2,197.38
244,4985,63,3,65.33
245,3956,15,4,51.99
246,922,36,5,230.93
