customer_id,transaction_date,amount
C001,2025-01-15 14:30:45,150.50
C002,2025-01-16 10:15:20,200.00
C001,2025-01-20 18:45:10,75.25
C003,2025-01-22 12:10:30,320.00
C002,2025-01-25 15:20:45,180.75
C004,2025-02-01 09:30:15,95.50
C001,2025-02-05 20:10:25,250.00
C003,2025-02-08 11:45:30,125.25
C002,2025-02-12 16:30:00,210.00
C004,2025-02-15 13:15:45,175.50
C001,2025-02-20 19:20:10,300.00
C003,2025-02-22 10:45:20,145.75
C002,2025-02-25 17:10:35,225.00
C004,2025-03-01 14:25:50,190.00
C001,2025-03-05 21:15:30,275.50
