order_id,customer_id,order_date,order_amount
1,815,2025-01-01 00:00:00,209.94
2,12,2025-01-01 01:00:00,363.29
3,318,2025-01-01 02:00:00,155.32
4,592,2025-01-01 03:00:00,194.63
5,216,2025-01-01 04:00:00,111.55
6,339,2025-01-01 05:00:00,186.59
7,776,2025-01-01 06:00:00,282.67
8,991,2025-01-01 07:00:00,496.05
9,661,2025-01-01 08:00:00,338.82
10,81,2025-01-01 09:00:00,115.64
11,727,2025-01-01 10:00:00,41.58
12,485,2025-01-01 11:00:00,80.65
13,374,2025-01-01 12:00:00,290.03
14,976,2025-01-01 13:00:00,387.28
15,710,2025-01-01 14:00:00,471.4
16,200,2025-01-01 15:00:00,27.6
17,537,2025-01-01 16:00:00,270.92
18,466,2025-01-01 17:00:00,246.02
19,89,2025-01-01 18:00:00,334.91
20,268,2025-01-01 19:00:00,288.6
21,655,2025-01-01 20:00:00,349.78
22,571,2025-01-01 21:00:00,335.88
23,922,2025-01-01 22:00:00,76.17
24,489,2025-01-01 23:00:00,403.86
25,877,2025-01-02 00:00:00,79.15
26,538,2025-01-02 01:00:00,355.29
27,47,2025-01-02 02:00:00,219.75
28,288,2025-01-02 03:00:00,266.65
29,778,2025-01-02 04:00:00,453.58
30,16,2025-01-02 05:00:00,447.14
31,711,2025-01-02 06:00:00,412.57
32,401,2025-01-02 07:00:00,264.87
33,919,2025-01-02 08:00:00,373.4
34,794,2025-01-02 09:00:00,266.19
35,981,2025-01-02 10:00:00,437.41
36,86,2025-01-02 11:00:00,213.33
37,250,2025-01-02 12:00:00,485.71
38,391,2025-01-02 13:00:00,467.51
39,782,2025-01-02 14:00:00,375.97
40,335,2025-01-02 15:00:00,154.12
41,629,2025-01-02 16:00:00,83.19
42,519,2025-01-02 17:00:00,430.26
43,137,2025-01-02 18:00:00,99.35
44,883,2025-01-02 19:00:00,430.05
45,688,2025-01-02 20:00:00,255.57
46,840,2025-01-02 21:00:00,215.15
47,498,2025-01-02 22:00:00,453.53
48,827,2025-01-02 23:00:00,309.85
49,727,2025-01-03 00:00:00,296.77
50,477,2025-01-03 01:00:00,288.21
51,594,2025-01-03 02:00:00,198.16
52,223,2025-01-03 03:00:00,397.11
53,990,2025-01-03 04:00:00,141.34
54,372,2025-01-03 05:00:00,470.67
55,935,2025-01-03 06:00:00,449.11
