customer_id,revenue
1,402.11
2,213.09
3,467.64
4,1122.18
5,193.61
6,193.61
7,1187.03
8,527.12
9,153.01
10,420.97
11,153.94
12,153.59
13,311.68
14,36.12
15,43.6
16,139.45
17,88.87
18,335.04
19,98.69
20,59.6
21,1059.6
22,195.24
23,261.79
24,58.87
25,141.97
26,273.4
27,77.4
28,356.27
29,134.2
30,182.78
31,134.06
32,1559.75
33,241.41
34,84.97
35,556.99
36,72.18
37,301.53
38,34.48
39,64.83
40,297.93
41,512.07
42,290.43
43,217.97
44,181.07
45,55.78
46,119.12
47,154.37
48,704.24
49,345.03
50,41.97
51,338.35
52,166.49
53,124.35
54,451.09
55,686.08
56,620.97
57,105.72
58,179.61
59,340.79
60,649.07
61,151.54
62,203.23
63,80.94
64,73.98
65,551.44
66,949.79
67,227.69
68,667.5
69,351.3
70,128.37
71,351.21
72,1139.15
73,236.08
74,1169.87
75,17.82
76,556.63
77,266.95
78,181.45
79,268.21
80,33.53
81,196.43
82,349.71
83,1072.66
84,145.73
85,109.02
86,148.15
87,611.19
88,339.93
89,144.06
90,408.82
91,269.64
92,644.61
93,121.26
94,176.33
95,165.32
96,56.63
97,329.02
98,317.68
99,245.95
100,193.53
101,59.42
102,160.67
103,173.69
104,109.7
105,208.24
106,366.52
107,1613.54
108,291.37
109,316.57
110,227.14
111,35.92
112,238.29
113,259.88
114,2873.37
115,201.87
116,330.81
117,236.34
118,76.04
119,767.26
120,519.02
121,539.71
122,98.55
123,995.05
124,60.23
125,440.04
126,2187.37
127,90.87
128,138.89
129,270.33
130,147.9
131,51.9
132,262.06
133,84.58
134,392.91
135,97.57
136,1152.78
137,111.8
138,177.32
139,551.98
140,71.46
141,307.19
142,904.28
143,49.03
144,294.31
145,317.31
146,534.76
147,71.03
148,65.34
149,412.38
150,329.31
151,314.35
152,346.0
153,123.96
154,308.66
155,328.02
156,119.78
157,1580.94
158,393.01
159,74.34
160,471.8
161,92.33
162,537.58
163,779.46
164,107.7
165,641.22
166,369.73
167,556.72
168,1630.75
169,191.45
170,115.15
171,100.53
172,108.22
173,226.53
174,344.18
175,322.69
176,559.58
177,247.89
178,1046.84
179,187.79
180,3715.13
181,457.45
182,103.84
183,83.86
184,396.42
185,195.69
186,499.7
187,392.78
188,227.5
189,104.92
190,53.79
191,156.57
192,576.17
193,303.11
194,70.4
195,290.96
196,359.72
197,101.1
198,285.35
199,259.36
200,78.03
201,349.95
202,428.71
203,722.74
204,701.91
205,61.7
206,95.79
207,409.54
208,409.03
209,409.55
210,11530.28
211,433.07
212,761.71
213,635.24
214,469.37
215,178.53
216,522.68
217,112.98
218,193.09
219,150.6
220,265.57
221,2476.64
222,37.82
223,486.03
224,48.78
225,152.64
226,727.02
227,260.94
228,83.28
229,119.67
230,482.8
231,117.88
232,303.83
233,256.1
234,127.54
235,2087.96
236,461.24
237,32.29
238,294.85
239,126.24
240,573.89
241,110.77
242,218.17
243,405.45
244,581.58
245,73.68
246,175.12
247,152.18
248,127.32
249,1430.04
250,366.86
251,69.35
252,612.69
253,2042.96
254,687.09
255,53.55
256,150.77
257,868.62
258,120.58
259,381.39
260,530.93
261,96.84
262,230.55
263,9.57
264,87.85
265,190.08
266,70.26
267,1251.89
268,58.55
269,157.58
270,278.87
271,1034.09
272,58.21
273,783.02
274,247.21
275,91.7
276,388.43
277,298.59
278,134.26
279,262.38
280,166.45
281,274.11
282,474.44
283,1195.14
284,70.96
285,2065.31
286,34.74
287,210.23
288,440.68
289,324.08
290,131.28
291,198.72
292,149.46
293,135.73
294,572.26
295,349.68
296,122.38
297,601.6
298,332.72
299,551.62
300,459.27
301,106.81
302,139.74
303,516.61
304,450.51
305,239.63
306,275.15
307,878.02
308,135.43
309,422.88
310,199.9
311,196.83
312,734.2
313,558.59
314,551.98
315,902.78
316,249.89
317,483.94
318,179.42
319,338.38
320,214.83
321,269.62
322,443.7
323,107.96
324,1983.04
325,89.48
326,72.66
327,779.08
328,540.05
329,456.74
330,458.68
331,241.71
332,99.76
333,263.96
334,124.32
335,648.8
336,211.23
337,107.18
338,177.44
339,369.79
340,139.25
341,107.53
342,312.21
343,312.61
344,147.39
345,152.77
346,308.6
347,57.51
348,59.89
349,119.29
350,197.66
351,333.92
352,1069.94
353,576.89
354,208.53
355,240.08
356,89.79
357,240.2
358,183.34
359,337.89
360,106.99
361,411.31
362,1133.13
363,219.48
364,365.66
365,487.92
366,163.82
367,306.16
368,247.79
369,269.8
370,112.96
371,250.76
372,402.62
373,1044.34
374,638.6
375,2107.34
376,113.6
377,585.41
378,293.93
379,2185.94
380,109.04
381,105.67
382,134.37
383,29.26
384,144.64
385,114.53
386,284.4
387,344.38
388,1597.46
389,632.97
390,137.43
391,99.64
392,400.18
393,65.35
394,1527.61
395,795.87
396,153.06
397,44.12
398,947.54
399,218.21
400,843.72
401,49.68
402,134.37
403,245.98
404,256.46
405,156.01
406,456.16
407,84.13
408,212.22
409,275.97
410,409.3
411,498.51
412,79.47
